City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
128,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
129,Gloucester,GB,65.16,broken clouds,51.8657,-2.2431,Edward Hotel
131,Bridlington,GB,60.82,clear sky,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
132,Lagoa,PT,72.3,broken clouds,39.05,-27.9833,Casa Das Faias
133,Marienheide,DE,61.03,few clouds,51.0833,7.5333,Waldhotel Marienheide - Culture Hotel Marienheide
135,Lebu,CL,53.15,clear sky,-37.6167,-73.65,Hostal Las Lilas
137,Mossamedes,AO,69.12,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
142,Kruisfontein,ZA,54.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
144,Povenets,RU,57.96,overcast clouds,62.8487,34.8262,Eko Otel' Bol'shaya Medveditsa
145,Abhā,SA,67.82,scattered clouds,18.2164,42.5053,Abha Hotel
147,Shelburne,CA,67.14,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
148,Mariehamn,AX,62.46,clear sky,60.0973,19.9348,Park Alandia Hotel
150,Mayumba,GA,73.87,overcast clouds,-3.432,10.6554,LIKWALE LODGE
152,Saint-Pierre,RE,67.64,few clouds,-21.3393,55.4781,Lindsey Hôtel
153,Henties Bay,,68.18,clear sky,-22.116,14.2845,Fishermans Guest House
154,Coyhaique,CL,53.55,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
158,Mahébourg,MU,70.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
159,Saldanha,ZA,48.25,broken clouds,-33.0117,17.9442,Blue Bay Lodge
161,Santa Branca,BR,70.65,clear sky,-23.3967,-45.8839,Jardins do Mirante
162,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Punto de encuentro
164,Peiting,DE,56.93,moderate rain,47.8,10.9333,Hotel Alte Post
167,Purpe,RU,58.12,overcast clouds,64.4803,76.6897,"Gostinnitsa ""Valentina"""
168,Oddur,SO,73.83,overcast clouds,4.1213,43.8894,Banjanay Hotel
173,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
174,Faya,SA,68.11,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
175,Malakal,SS,70.84,overcast clouds,9.5334,31.6605,Nile Palace Hotel
176,Lilongwe,MW,63.25,broken clouds,-13.9669,33.7873,Spendwise furnished apartments.
179,Andenes,NO,47.07,broken clouds,69.3143,16.1194,Hotell Marena
180,Mar del Plata,AR,53.1,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
181,Eucaliptus,BO,58.69,broken clouds,-17.5833,-67.5167,Hotel Serrano
182,Demmin,DE,64.04,scattered clouds,53.9076,13.0314,Hotel Trebeltal
183,Vila Velha,BR,72.97,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
184,Östersund,SE,52.25,broken clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
185,Ballitoville,ZA,67.24,clear sky,-29.539,31.2144,Hotel Fairmont Zimbali Resort
186,Rensvik,NO,53.26,broken clouds,63.1,7.8167,Thon Hotels Storgata
187,Machalí,CL,72.68,clear sky,-34.1833,-70.6667,Mining House
188,Pangnirtung,CA,48.2,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
